;№ Контура;Длина, м;Измерение внутреннего конца;Измерение наружного конца;Отсечка, мкм;ДМП@ 1,55;ДМП@ 1,55;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;В* 10-4;h* 10-5;Номер заготовки;Стержень 1;Стержень 2;Диаметр стержня ср.;Диаметр стержня 1 ср.;Диаметр стержня 2 ср.;Диаметр легированной части стержня 1 ср.;Диаметр легированной части стержня 2 ср.;Диаметр канала;Диаметр канала 1;Диаметр канала 2;Стержень 1;Стержень 1;Стержень 1;Стержень 1;Стержень 1;Стержень 2;Стержень 2;Стержень 2;Стержень 2;Стержень 2;Линия 1;Линия 2;Статус;Линия;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Дата вытяжки;Скорость вытяжки мин.,м|мин;Скорость вытяжки сред.,м|мин;Скорость вытяжки макс.,м|мин;Диаметр по кварцу мин,мм;Диаметр по кварцу ср.,мм;Диаметр по кварцу макс,мм;Натяжение волокна мин, гр;Натяжение волокна сред, гр;Натяжение волокна макс, гр;Диаметр покрытия 1 мин, мкм;диаметр покрытия 1 сред., мкм;диаметр покрытия 1 макс, мкм;Диаметр покрытия 2 мин, мкм;диаметр покрытия 2 сред., мкм;диаметр покрытия 2 макс, мкм;Скорость подачи заготовки в печь мин., мм|мин;Скорость подачи заготовки в печь сред., мм|мин;Скорость подачи заготовки в печь макс., мм|мин;Количество волокна на выходе в режим до полной стабилизации, м;Количество волокна снятого с процесса, м;Количество обрывов во время вытяжки, шт;Количество зафиксированных (скачков) резких измененений скорости за время вытяжки;Температура вытяжки, град *;Степень полимеризации;Степень полимеризации. Метод экстракции;Рецепт отверждения полимеров;Технические работы;Технические работы;Технические работы;Технические работы;Технические работы;Технические работы;Стрежень 1;Стрежень 1;Стрежень 1;Стрежень 1;Стрежень 1;Стрежень 2;Стрежень 2;Стрежень 2;Стрежень 2;Стрежень 2;Номер преформы;Преформа;Преформа;Преформа;Преформа;Преформа;Преформа;Преформа;Преформа
608;PS001017-A260819-1/1-3;1100;25403;25404;1375.575;7.3063;7.63605;131.62;81.375;165.79000000000002;6.34;0.5449999999999999;0.645;9.89;1.79;0.45;17.705;18.095;2.2249999999999996;3.2;16.14;15.92;0.395;0.31;7.4;0.07;PS001017-A260819-1;CK002549-A290819;CK002549-A290819;7.1805;7.1805;7.1825;5.7;5.67;7.2415;7.2415;7.2415;Rec-CK002233-A160118;2019-08-29 09:00:00;;8.5;6.9;Rec-CK002233-A160118;2019-08-29 09:00:00;;8.5;6.9;1;1.0;На контроль;;1600.0;13.8;1930.0;40.0;80.2;1915.0;35.0;38.0;166.0;200.0;129.0;169.0;25.84;165.0;150.0;2019-09-19 00:00:00;32.9;35.0;37.6;78.4;80.0;81.7;34.0;40.0;45.0;129.0;129.5;130.7;166.6;168.0;168.9;0.38;0.38;0.38;600.0;7800.0;0.0;0.0;1915.0;99.05;;;2019-09-07 00:00:00;2019-09-04 00:00:00;2019-09-07 00:00:00;66.0;2018-06-06 00:00:00;1689.0;-0.00010666666666666671;-0.007193333333333333;0.0070866666666666665;5.737266666666668;10.592466666666668;-0.00010666666666666671;-0.007193333333333333;0.0070866666666666665;5.737266666666668;10.592466666666668;PS001017-A260819;0.010528571428571429;1.9947142857142859;0.010428571428571428;0.009714285714285715;4.930285714285715;4.98;4.664;5.041
609;PS001017-A260819-1/1-4;1100;25405;25406;1388.6399999999999;7.30545;7.64105;131.755;81.28999999999999;165.95499999999998;6.405;0.45;0.7050000000000001;6.029999999999999;1.85;0.23;18.04;18.275;1.6949999999999998;2.245;16.205;15.969999999999999;0.355;0.385;7.35;0.07;PS001017-A260819-1;CK002549-A290819;CK002549-A290819;7.1805;7.1805;7.1825;5.7;5.67;7.2415;7.2415;7.2415;Rec-CK002233-A160118;2019-08-29 09:00:00;;8.5;6.9;Rec-CK002233-A160118;2019-08-29 09:00:00;;8.5;6.9;1;1.0;На контроль;;1600.0;13.8;1930.0;40.0;80.2;1915.0;35.0;38.0;166.0;200.0;129.0;169.0;25.84;165.0;150.0;2019-09-19 00:00:00;32.9;35.0;37.6;78.4;80.0;81.7;34.0;40.0;45.0;129.0;129.5;130.7;166.6;168.0;168.9;0.38;0.38;0.38;600.0;7800.0;0.0;0.0;1915.0;99.05;;;2019-09-07 00:00:00;2019-09-04 00:00:00;2019-09-07 00:00:00;66.0;2018-06-06 00:00:00;1689.0;-0.00010666666666666671;-0.007193333333333333;0.0070866666666666665;5.737266666666668;10.592466666666668;-0.00010666666666666671;-0.007193333333333333;0.0070866666666666665;5.737266666666668;10.592466666666668;PS001017-A260819;0.010528571428571429;1.9947142857142859;0.010428571428571428;0.009714285714285715;4.930285714285715;4.98;4.664;5.041
610;PS001017-A260819-1/1-5;1100;25407;25408;1387.7199999999998;7.26605;7.61655;131.72;81.13;165.99;6.33;0.5;0.475;7.300000000000001;1.98;0.155;17.955;18.325000000000003;2.175;1.99;16.155;15.885;0.325;0.275;7.35;0.07;PS001017-A260819-1;CK002549-A290819;CK002549-A290819;7.1805;7.1805;7.1825;5.7;5.67;7.2415;7.2415;7.2415;Rec-CK002233-A160118;2019-08-29 09:00:00;;8.5;6.9;Rec-CK002233-A160118;2019-08-29 09:00:00;;8.5;6.9;1;1.0;На контроль;;1600.0;13.8;1930.0;40.0;80.2;1915.0;35.0;38.0;166.0;200.0;129.0;169.0;25.84;165.0;150.0;2019-09-19 00:00:00;32.9;35.0;37.6;78.4;80.0;81.7;34.0;40.0;45.0;129.0;129.5;130.7;166.6;168.0;168.9;0.38;0.38;0.38;600.0;7800.0;0.0;0.0;1915.0;99.05;;;2019-09-07 00:00:00;2019-09-04 00:00:00;2019-09-07 00:00:00;66.0;2018-06-06 00:00:00;1689.0;-0.00010666666666666671;-0.007193333333333333;0.0070866666666666665;5.737266666666668;10.592466666666668;-0.00010666666666666671;-0.007193333333333333;0.0070866666666666665;5.737266666666668;10.592466666666668;PS001017-A260819;0.010528571428571429;1.9947142857142859;0.010428571428571428;0.009714285714285715;4.930285714285715;4.98;4.664;5.041
611;PS001017-A260819-1/1-6;1100;25409;25410;1378.12;7.2568;7.60835;131.76999999999998;80.955;166.065;6.285;0.44999999999999996;0.345;5.485;1.8900000000000001;0.22;18.049999999999997;18.295;2.985;2.65;16.104999999999997;15.785;0.24;0.19;7.5;0.1;PS001017-A260819-1;CK002549-A290819;CK002549-A290819;7.1805;7.1805;7.1825;5.7;5.67;7.2415;7.2415;7.2415;Rec-CK002233-A160118;2019-08-29 09:00:00;;8.5;6.9;Rec-CK002233-A160118;2019-08-29 09:00:00;;8.5;6.9;1;1.0;На контроль;;1600.0;13.8;1930.0;40.0;80.2;1915.0;35.0;38.0;166.0;200.0;129.0;169.0;25.84;165.0;150.0;2019-09-19 00:00:00;32.9;35.0;37.6;78.4;80.0;81.7;34.0;40.0;45.0;129.0;129.5;130.7;166.6;168.0;168.9;0.38;0.38;0.38;600.0;7800.0;0.0;0.0;1915.0;99.05;;;2019-09-07 00:00:00;2019-09-04 00:00:00;2019-09-07 00:00:00;66.0;2018-06-06 00:00:00;1689.0;-0.00010666666666666671;-0.007193333333333333;0.0070866666666666665;5.737266666666668;10.592466666666668;-0.00010666666666666671;-0.007193333333333333;0.0070866666666666665;5.737266666666668;10.592466666666668;PS001017-A260819;0.010528571428571429;1.9947142857142859;0.010428571428571428;0.009714285714285715;4.930285714285715;4.98;4.664;5.041
612;PS001017-A260819-1/1-7;1080;25411;25412;1379.47;7.23895;7.5842;131.875;81.19;166.2;6.42;0.325;0.7849999999999999;2.865;1.865;0.245;18.505;18.43;2.83;3.445;15.94;16.015;0.08499999999999999;0.065;7.699999999999999;0.1;PS001017-A260819-1;CK002549-A290819;CK002549-A290819;7.1805;7.1805;7.1825;5.7;5.67;7.2415;7.2415;7.2415;Rec-CK002233-A160118;2019-08-29 09:00:00;;8.5;6.9;Rec-CK002233-A160118;2019-08-29 09:00:00;;8.5;6.9;1;1.0;На контроль;;1600.0;13.8;1930.0;40.0;80.2;1915.0;35.0;38.0;166.0;200.0;129.0;169.0;25.84;165.0;150.0;2019-09-19 00:00:00;32.9;35.0;37.6;78.4;80.0;81.7;34.0;40.0;45.0;129.0;129.5;130.7;166.6;168.0;168.9;0.38;0.38;0.38;600.0;7800.0;0.0;0.0;1915.0;99.05;;;2019-09-07 00:00:00;2019-09-04 00:00:00;2019-09-07 00:00:00;66.0;2018-06-06 00:00:00;1689.0;-0.00010666666666666671;-0.007193333333333333;0.0070866666666666665;5.737266666666668;10.592466666666668;-0.00010666666666666671;-0.007193333333333333;0.0070866666666666665;5.737266666666668;10.592466666666668;PS001017-A260819;0.010528571428571429;1.9947142857142859;0.010428571428571428;0.009714285714285715;4.930285714285715;4.98;4.664;5.041
613;PS001017-A260819-2/1-1;1050;25413;25414;1386.4250000000002;7.2585;7.6065000000000005;131.515;81.61500000000001;166.315;6.155;0.845;0.61;8.315;1.2349999999999999;0.33;18.305;17.36;4.470000000000001;8.93;15.3;16.13;0.085;0.15000000000000002;7.0;0.09;PS001017-A260819-2;CK002531-D230819;CK002531-D230819;7.1685;7.1685;7.172;5.67;5.6850000000000005;7.229;7.229;7.229;Rec-CK002495-D020819;2019-08-22 22:47:00;17.0;14.3;14.4;Rec-CK002495-D020819;2019-08-22 22:47:00;17.0;14.3;14.4;3;3.0;На контроль;;1600.0;14.0;1930.0;40.0;80.2;1915.0;35.0;38.0;166.0;200.0;129.0;169.0;25.62;172.0;157.0;2019-09-19 00:00:00;34.0;36.0;41.0;78.3;80.0;81.6;31.0;40.0;50.0;129.1;130.0;130.9;166.2;167.5;168.9;0.39;0.39;0.39;650.0;4500.0;0.0;0.0;1915.0;98.36;;;2019-09-07 00:00:00;2019-09-04 00:00:00;2019-09-07 00:00:00;66.0;2018-06-06 00:00:00;1689.0;8.750000000000003e-05;-0.007300000000000001;0.007387500000000003;5.680624999999999;10.4721875;8.750000000000003e-05;-0.007300000000000001;0.007387500000000003;5.680624999999999;10.4721875;PS001017-A260819;0.010528571428571429;1.9947142857142859;0.010428571428571428;0.009714285714285715;4.930285714285715;4.98;4.664;5.041
614;PS001017-A260819-2/1-2-1;1050;25415;25416;1389.6100000000001;7.238250000000001;7.5887;131.24;80.96000000000001;166.57;6.215;0.155;0.33999999999999997;6.815;1.87;0.45499999999999996;17.355;17.915;3.49;1.82;16.439999999999998;15.29;0.20500000000000002;0.26;6.95;0.11;PS001017-A260819-2;CK002531-D230819;CK002531-D230819;7.1685;7.1685;7.172;5.67;5.6850000000000005;7.229;7.229;7.229;Rec-CK002495-D020819;2019-08-22 22:47:00;17.0;14.3;14.4;Rec-CK002495-D020819;2019-08-22 22:47:00;17.0;14.3;14.4;3;3.0;На контроль;;1600.0;14.0;1930.0;40.0;80.2;1915.0;35.0;38.0;166.0;200.0;129.0;169.0;25.62;172.0;157.0;2019-09-19 00:00:00;34.0;36.0;41.0;78.3;80.0;81.6;31.0;40.0;50.0;129.1;130.0;130.9;166.2;167.5;168.9;0.39;0.39;0.39;650.0;4500.0;0.0;0.0;1915.0;98.36;;;2019-09-07 00:00:00;2019-09-04 00:00:00;2019-09-07 00:00:00;66.0;2018-06-06 00:00:00;1689.0;8.750000000000003e-05;-0.007300000000000001;0.007387500000000003;5.680624999999999;10.4721875;8.750000000000003e-05;-0.007300000000000001;0.007387500000000003;5.680624999999999;10.4721875;PS001017-A260819;0.010528571428571429;1.9947142857142859;0.010428571428571428;0.009714285714285715;4.930285714285715;4.98;4.664;5.041
615;PS001018-A260819-1/1-2;1100;25448;25452;1377.08;7.2153;7.553100000000001;131.13;81.16;167.16500000000002;6.29;0.53;0.325;10.709999999999999;1.115;0.325;17.415;17.98;5.8100000000000005;3.0700000000000003;15.065;15.93;0.195;0.16;7.65;0.1;PS001018-A260819-1;CK002574-A110919;CK002574-A110919;7.172499999999999;7.172499999999999;7.1705000000000005;5.68;5.65;7.2335;7.2335;7.2335;Rec-CK002233-A160118;2019-09-11 13:40:00;22.5;14.5;6.3;Rec-CK002233-A160118;2019-09-11 13:40:00;22.5;14.5;6.3;1;1.0;На контроль;;1600.0;13.8;1930.0;40.0;80.2;1915.0;35.0;38.0;166.0;200.0;129.0;169.0;26.09;176.0;161.0;2019-09-20 00:00:00;34.3;36.0;40.5;78.6;80.0;81.3;36.0;42.0;50.0;129.1;129.5;130.8;166.6;168.0;169.0;0.37;0.37;0.37;700.0;7800.0;0.0;0.0;1915.0;98.79;;;2019-09-07 00:00:00;2019-09-04 00:00:00;2019-09-07 00:00:00;76.0;2018-06-06 00:00:00;1699.0;-0.0003529411764705883;-0.00735294117647059;0.007000000000000003;5.654117647058824;10.566764705882353;-0.0003529411764705883;-0.00735294117647059;0.007000000000000003;5.654117647058824;10.566764705882353;PS001018-A260819;0.01057142857142857;2.0085714285714285;0.012428571428571428;0.011000000000000001;4.938285714285714;4.985;4.718;5.042
616;PS001018-A260819-1/1-3;1200;25453;25454;1389.705;7.23845;7.577249999999999;131.29000000000002;81.12;166.78;6.26;0.195;0.635;5.92;1.195;0.16;18.134999999999998;17.895;2.975;3.0250000000000004;15.565000000000001;15.635;0.195;0.07;7.8;0.1;PS001018-A260819-1;CK002574-A110919;CK002574-A110919;7.172499999999999;7.172499999999999;7.1705000000000005;5.68;5.65;7.2335;7.2335;7.2335;Rec-CK002233-A160118;2019-09-11 13:40:00;22.5;14.5;6.3;Rec-CK002233-A160118;2019-09-11 13:40:00;22.5;14.5;6.3;1;1.0;На контроль;;1600.0;13.8;1930.0;40.0;80.2;1915.0;35.0;38.0;166.0;200.0;129.0;169.0;26.09;176.0;161.0;2019-09-20 00:00:00;34.3;36.0;40.5;78.6;80.0;81.3;36.0;42.0;50.0;129.1;129.5;130.8;166.6;168.0;169.0;0.37;0.37;0.37;700.0;7800.0;0.0;0.0;1915.0;98.79;;;2019-09-07 00:00:00;2019-09-04 00:00:00;2019-09-07 00:00:00;76.0;2018-06-06 00:00:00;1699.0;-0.0003529411764705883;-0.00735294117647059;0.007000000000000003;5.654117647058824;10.566764705882353;-0.0003529411764705883;-0.00735294117647059;0.007000000000000003;5.654117647058824;10.566764705882353;PS001018-A260819;0.01057142857142857;2.0085714285714285;0.012428571428571428;0.011000000000000001;4.938285714285714;4.985;4.718;5.042
617;PS001018-A260819-1/1-4;600;25455;25456;1388.765;7.2393;7.5626;131.34;81.305;166.82999999999998;6.37;0.325;0.445;5.145;1.29;0.1;18.29;18.455;3.145;3.17;15.594999999999999;15.59;0.13;0.07500000000000001;8.1;0.19;PS001018-A260819-1;CK002574-A110919;CK002574-A110919;7.172499999999999;7.172499999999999;7.1705000000000005;5.68;5.65;7.2335;7.2335;7.2335;Rec-CK002233-A160118;2019-09-11 13:40:00;22.5;14.5;6.3;Rec-CK002233-A160118;2019-09-11 13:40:00;22.5;14.5;6.3;1;1.0;На контроль;;1600.0;13.8;1930.0;40.0;80.2;1915.0;35.0;38.0;166.0;200.0;129.0;169.0;26.09;176.0;161.0;2019-09-20 00:00:00;34.3;36.0;40.5;78.6;80.0;81.3;36.0;42.0;50.0;129.1;129.5;130.8;166.6;168.0;169.0;0.37;0.37;0.37;700.0;7800.0;0.0;0.0;1915.0;98.79;;;2019-09-07 00:00:00;2019-09-04 00:00:00;2019-09-07 00:00:00;76.0;2018-06-06 00:00:00;1699.0;-0.0003529411764705883;-0.00735294117647059;0.007000000000000003;5.654117647058824;10.566764705882353;-0.0003529411764705883;-0.00735294117647059;0.007000000000000003;5.654117647058824;10.566764705882353;PS001018-A260819;0.01057142857142857;2.0085714285714285;0.012428571428571428;0.011000000000000001;4.938285714285714;4.985;4.718;5.042
618;PS001018-A260819-2/1-1;900;25507;25508;1470.4450000000002;7.30425;7.6095500000000005;131.69;81.77;167.24;6.555;1.65;0.57;18.490000000000002;0.33999999999999997;0.33;18.595;18.82;4.805;6.33;15.4;15.865;0.6;0.74;7.85;0.11;PS001018-A260819-2;CK002562-A040919;CK002507-A120819;7.1739999999999995;7.1739999999999995;7.175;5.6899999999999995;5.68;7.235;7.235;7.235;Rec-CK002233-A160118;2019-09-03 22:30:00;23.4;13.0;6.7;Rec-CK002233-A160118;2019-08-11 22:00:00;18.5;14.8;8.0;1;1.0;На контроль;;1600.0;14.0;1930.0;40.0;80.2;1915.0;35.0;38.0;166.0;200.0;129.0;169.0;25.76;210.0;195.0;2019-09-20 00:00:00;31.0;35.0;39.0;77.2;79.7;82.2;32.0;40.0;48.0;128.7;130.0;131.2;167.5;168.6;168.8;0.38;0.38;0.38;650.0;8900.0;0.0;0.0;1915.0;97.59;;;2019-09-07 00:00:00;2019-09-04 00:00:00;2019-09-07 00:00:00;76.0;2018-06-06 00:00:00;1699.0;-0.00043529411764705884;-0.004923529411764706;0.004479411764705884;3.68355294117647;6.843350000000001;-0.0002866666666666666;-0.00722;0.006933333333333334;5.748399999999999;10.610866666666663;PS001018-A260819;0.01057142857142857;2.0085714285714285;0.012428571428571428;0.011000000000000001;4.938285714285714;4.985;4.718;5.042
619;PS001018-A260819-2/1-2;1100;25509;25510;1354.99;7.2246500000000005;7.574450000000001;131.325;81.69;167.535;5.995;0.76;0.34;10.235;0.615;0.185;17.765;17.939999999999998;5.21;4.904999999999999;15.865000000000002;15.585;0.7;0.735;7.300000000000001;0.13;PS001018-A260819-2;CK002562-A040919;CK002507-A120819;7.1739999999999995;7.1739999999999995;7.175;5.6899999999999995;5.68;7.235;7.235;7.235;Rec-CK002233-A160118;2019-09-03 22:30:00;23.4;13.0;6.7;Rec-CK002233-A160118;2019-08-11 22:00:00;18.5;14.8;8.0;1;1.0;На контроль;;1600.0;14.0;1930.0;40.0;80.2;1915.0;35.0;38.0;166.0;200.0;129.0;169.0;25.76;210.0;195.0;2019-09-20 00:00:00;31.0;35.0;39.0;77.2;79.7;82.2;32.0;40.0;48.0;128.7;130.0;131.2;167.5;168.6;168.8;0.38;0.38;0.38;650.0;8900.0;0.0;0.0;1915.0;97.59;;;2019-09-07 00:00:00;2019-09-04 00:00:00;2019-09-07 00:00:00;76.0;2018-06-06 00:00:00;1699.0;-0.00043529411764705884;-0.004923529411764706;0.004479411764705884;3.68355294117647;6.843350000000001;-0.0002866666666666666;-0.00722;0.006933333333333334;5.748399999999999;10.610866666666663;PS001018-A260819;0.01057142857142857;2.0085714285714285;0.012428571428571428;0.011000000000000001;4.938285714285714;4.985;4.718;5.042
620;PS001018-A260819-2/1-3;1100;25511;25512;1363.605;7.24175;7.61205;131.20999999999998;81.41999999999999;167.865;6.050000000000001;0.31;0.325;5.965;0.8049999999999999;0.18;18.195;18.14;2.57;3.01;16.02;15.844999999999999;0.755;0.665;7.35;0.13;PS001018-A260819-2;CK002562-A040919;CK002507-A120819;7.1739999999999995;7.1739999999999995;7.175;5.6899999999999995;5.68;7.235;7.235;7.235;Rec-CK002233-A160118;2019-09-03 22:30:00;23.4;13.0;6.7;Rec-CK002233-A160118;2019-08-11 22:00:00;18.5;14.8;8.0;1;1.0;На контроль;;1600.0;14.0;1930.0;40.0;80.2;1915.0;35.0;38.0;166.0;200.0;129.0;169.0;25.76;210.0;195.0;2019-09-20 00:00:00;31.0;35.0;39.0;77.2;79.7;82.2;32.0;40.0;48.0;128.7;130.0;131.2;167.5;168.6;168.8;0.38;0.38;0.38;650.0;8900.0;0.0;0.0;1915.0;97.59;;;2019-09-07 00:00:00;2019-09-04 00:00:00;2019-09-07 00:00:00;76.0;2018-06-06 00:00:00;1699.0;-0.00043529411764705884;-0.004923529411764706;0.004479411764705884;3.68355294117647;6.843350000000001;-0.0002866666666666666;-0.00722;0.006933333333333334;5.748399999999999;10.610866666666663;PS001018-A260819;0.01057142857142857;2.0085714285714285;0.012428571428571428;0.011000000000000001;4.938285714285714;4.985;4.718;5.042
621;PS001018-A260819-2/1-4;1100;25513;25514;1374.045;7.271100000000001;7.6113;131.29000000000002;81.285;167.64999999999998;6.140000000000001;0.28;0.31;5.25;0.63;0.11000000000000001;18.465;18.71;3.045;2.04;15.899999999999999;16.060000000000002;0.7949999999999999;0.6950000000000001;7.65;0.15;PS001018-A260819-2;CK002562-A040919;CK002507-A120819;7.1739999999999995;7.1739999999999995;7.175;5.6899999999999995;5.68;7.235;7.235;7.235;Rec-CK002233-A160118;2019-09-03 22:30:00;23.4;13.0;6.7;Rec-CK002233-A160118;2019-08-11 22:00:00;18.5;14.8;8.0;1;1.0;На контроль;;1600.0;14.0;1930.0;40.0;80.2;1915.0;35.0;38.0;166.0;200.0;129.0;169.0;25.76;210.0;195.0;2019-09-20 00:00:00;31.0;35.0;39.0;77.2;79.7;82.2;32.0;40.0;48.0;128.7;130.0;131.2;167.5;168.6;168.8;0.38;0.38;0.38;650.0;8900.0;0.0;0.0;1915.0;97.59;;;2019-09-07 00:00:00;2019-09-04 00:00:00;2019-09-07 00:00:00;76.0;2018-06-06 00:00:00;1699.0;-0.00043529411764705884;-0.004923529411764706;0.004479411764705884;3.68355294117647;6.843350000000001;-0.0002866666666666666;-0.00722;0.006933333333333334;5.748399999999999;10.610866666666663;PS001018-A260819;0.01057142857142857;2.0085714285714285;0.012428571428571428;0.011000000000000001;4.938285714285714;4.985;4.718;5.042
622;PS001018-A260819-3/1-1;1050;25565;25566;1362.7150000000001;7.42915;7.7722999999999995;131.64;81.185;167.575;6.32;0.62;0.59;8.844999999999999;1.63;0.14;18.185000000000002;18.145;1.965;1.95;16.03;15.780000000000001;0.035;0.08;7.15;0.09;PS001018-A260819-3;CK002526-D210819;CK002526-D210819;7.1675;7.1675;7.173;5.69;5.6899999999999995;7.228;7.228;7.228;Rec-CK002495-D020819;2019-08-21 08:00:00;17.3;8.7;14.2;Rec-CK002495-D020819;2019-08-21 08:00:00;17.3;8.7;14.2;3;3.0;На контроль;;1600.0;14.0;1930.0;40.0;80.2;1915.0;35.0;38.0;166.0;200.0;129.0;169.0;25.61;197.0;181.0;2019-09-23 00:00:00;33.0;35.0;37.0;79.3;80.2;81.9;34.0;40.0;47.0;129.5;130.0;131.0;167.7;168.0;169.5;0.38;0.38;0.38;650.0;10000.0;0.0;1.0;1915.0;98.26;;;2019-09-07 00:00:00;2019-09-04 00:00:00;2019-09-07 00:00:00;95.0;2018-06-06 00:00:00;1718.0;-4.666666666666667e-05;-0.007226666666666667;0.007180000000000001;5.795066666666667;10.488733333333334;-4.666666666666667e-05;-0.007226666666666667;0.007180000000000001;5.795066666666667;10.488733333333334;PS001018-A260819;0.01057142857142857;2.0085714285714285;0.012428571428571428;0.011000000000000001;4.938285714285714;4.985;4.718;5.042
623;PS001018-A260819-3/1-2;1050;25567;25568;1381.99;7.4213000000000005;7.74485;131.665;81.15;167.39499999999998;6.33;0.6950000000000001;0.5249999999999999;6.67;1.695;0.145;18.315;18.435000000000002;3.0949999999999998;2.3;16.11;15.77;0.045;0.14500000000000002;7.199999999999999;0.14;PS001018-A260819-3;CK002526-D210819;CK002526-D210819;7.1675;7.1675;7.173;5.69;5.6899999999999995;7.228;7.228;7.228;Rec-CK002495-D020819;2019-08-21 08:00:00;17.3;8.7;14.2;Rec-CK002495-D020819;2019-08-21 08:00:00;17.3;8.7;14.2;3;3.0;На контроль;;1600.0;14.0;1930.0;40.0;80.2;1915.0;35.0;38.0;166.0;200.0;129.0;169.0;25.61;197.0;181.0;2019-09-23 00:00:00;33.0;35.0;37.0;79.3;80.2;81.9;34.0;40.0;47.0;129.5;130.0;131.0;167.7;168.0;169.5;0.38;0.38;0.38;650.0;10000.0;0.0;1.0;1915.0;98.26;;;2019-09-07 00:00:00;2019-09-04 00:00:00;2019-09-07 00:00:00;95.0;2018-06-06 00:00:00;1718.0;-4.666666666666667e-05;-0.007226666666666667;0.007180000000000001;5.795066666666667;10.488733333333334;-4.666666666666667e-05;-0.007226666666666667;0.007180000000000001;5.795066666666667;10.488733333333334;PS001018-A260819;0.01057142857142857;2.0085714285714285;0.012428571428571428;0.011000000000000001;4.938285714285714;4.985;4.718;5.042
624;PS001018-A260819-3/1-3;1050;25569;25570;1396.415;7.4140999999999995;7.73285;131.47;81.075;167.605;6.335;0.615;0.5700000000000001;7.5200000000000005;1.7850000000000001;0.185;18.105;18.28;2.705;2.475;16.09;15.754999999999999;0.03;0.115;7.199999999999999;0.13;PS001018-A260819-3;CK002526-D210819;CK002526-D210819;7.1675;7.1675;7.173;5.69;5.6899999999999995;7.228;7.228;7.228;Rec-CK002495-D020819;2019-08-21 08:00:00;17.3;8.7;14.2;Rec-CK002495-D020819;2019-08-21 08:00:00;17.3;8.7;14.2;3;3.0;На контроль;;1600.0;14.0;1930.0;40.0;80.2;1915.0;35.0;38.0;166.0;200.0;129.0;169.0;25.61;197.0;181.0;2019-09-23 00:00:00;33.0;35.0;37.0;79.3;80.2;81.9;34.0;40.0;47.0;129.5;130.0;131.0;167.7;168.0;169.5;0.38;0.38;0.38;650.0;10000.0;0.0;1.0;1915.0;98.26;;;2019-09-07 00:00:00;2019-09-04 00:00:00;2019-09-07 00:00:00;95.0;2018-06-06 00:00:00;1718.0;-4.666666666666667e-05;-0.007226666666666667;0.007180000000000001;5.795066666666667;10.488733333333334;-4.666666666666667e-05;-0.007226666666666667;0.007180000000000001;5.795066666666667;10.488733333333334;PS001018-A260819;0.01057142857142857;2.0085714285714285;0.012428571428571428;0.011000000000000001;4.938285714285714;4.985;4.718;5.042
625;PS001018-A260819-3/1-4;1050;25571;25572;1392.955;7.413;7.72725;131.395;81.15;167.605;6.455;0.5549999999999999;0.405;6.25;1.73;0.155;18.155;18.29;1.635;2.395;16.075;15.780000000000001;0.015;0.05500000000000001;7.35;0.11;PS001018-A260819-3;CK002526-D210819;CK002526-D210819;7.1675;7.1675;7.173;5.69;5.6899999999999995;7.228;7.228;7.228;Rec-CK002495-D020819;2019-08-21 08:00:00;17.3;8.7;14.2;Rec-CK002495-D020819;2019-08-21 08:00:00;17.3;8.7;14.2;3;3.0;На контроль;;1600.0;14.0;1930.0;40.0;80.2;1915.0;35.0;38.0;166.0;200.0;129.0;169.0;25.61;197.0;181.0;2019-09-23 00:00:00;33.0;35.0;37.0;79.3;80.2;81.9;34.0;40.0;47.0;129.5;130.0;131.0;167.7;168.0;169.5;0.38;0.38;0.38;650.0;10000.0;0.0;1.0;1915.0;98.26;;;2019-09-07 00:00:00;2019-09-04 00:00:00;2019-09-07 00:00:00;95.0;2018-06-06 00:00:00;1718.0;-4.666666666666667e-05;-0.007226666666666667;0.007180000000000001;5.795066666666667;10.488733333333334;-4.666666666666667e-05;-0.007226666666666667;0.007180000000000001;5.795066666666667;10.488733333333334;PS001018-A260819;0.01057142857142857;2.0085714285714285;0.012428571428571428;0.011000000000000001;4.938285714285714;4.985;4.718;5.042
